Date,Open,High,Low,Close,Adj Close,Volume
04-03-19,1146.98999,1158.280029,1130.689941,1147.800049,1147.800049,1446000
05-03-19,1150.060059,1169.609985,1146.194946,1162.030029,1162.030029,1443200
06-03-19,1162.48999,1167.56604,1155.48999,1157.859985,1157.859985,1099300
07-03-19,1155.719971,1156.755005,1134.910034,1143.300049,1143.300049,1166600
08-03-19,1126.72998,1147.079956,1123.300049,1142.319946,1142.319946,1212400
11-03-19,1144.449951,1176.189941,1144.449951,1175.76001,1175.76001,1719200
12-03-19,1178.26001,1200,1178.26001,1193.199951,1193.199951,2013100
13-03-19,1200.64502,1200.930054,1191.939941,1193.319946,1193.319946,1435900
14-03-19,1194.51001,1197.880005,1184.47998,1185.550049,1185.550049,1172800
15-03-19,1193.380005,1196.569946,1182.609985,1184.459961,1184.459961,2461800
18-03-19,1183.300049,1190,1177.421021,1184.26001,1184.26001,1292600
19-03-19,1188.810059,1200,1185.869995,1198.849976,1198.849976,1520700
20-03-19,1197.349976,1227.140015,1196.170044,1223.969971,1223.969971,2227400
21-03-19,1216,1231.790039,1213.150024,1231.540039,1231.540039,1204000
22-03-19,1226.319946,1230,1202.824951,1205.5,1205.5,1714200
25-03-19,1196.930054,1206.397949,1187.040039,1193,1193,1496800
26-03-19,1198.530029,1202.829956,1176.719971,1184.619995,1184.619995,1901200
27-03-19,1185.5,1187.55896,1159.369995,1173.02002,1173.02002,1400200
28-03-19,1171.540039,1171.564941,1159.43103,1168.48999,1168.48999,1012400
29-03-19,1174.900024,1178.98999,1162.880005,1173.310059,1173.310059,1269900
01-04-19,1184.099976,1196.660034,1182,1194.430054,1194.430054,1252500
02-04-19,1195.319946,1201.349976,1185.709961,1200.48999,1200.48999,827900
03-04-19,1207.47998,1216.300049,1200.5,1205.920044,1205.920044,1017800
04-04-19,1205.939941,1215.670044,1204.130005,1215,1215,950000
05-04-19,1214.98999,1216.219971,1205.030029,1207.150024,1207.150024,907200
08-04-19,1207.890015,1208.689941,1199.859985,1203.839966,1203.839966,860200
09-04-19,1196,1202.290039,1193.079956,1197.25,1197.25,876400
10-04-19,1200.680054,1203.785034,1196.435059,1202.160034,1202.160034,724600
11-04-19,1203.959961,1207.959961,1200.130005,1204.619995,1204.619995,710200
12-04-19,1210,1218.349976,1208.109985,1217.869995,1217.869995,933400
15-04-19,1218,1224.199951,1209.109985,1221.099976,1221.099976,1187400
16-04-19,1225,1230.819946,1220.119995,1227.130005,1227.130005,856300
17-04-19,1233,1240.560059,1227.819946,1236.339966,1236.339966,1221900
18-04-19,1239.180054,1242,1234.609985,1236.369995,1236.369995,1331800
22-04-19,1235.98999,1249.089966,1228.310059,1248.839966,1248.839966,807300
23-04-19,1250.689941,1269,1246.380005,1264.550049,1264.550049,1319900
24-04-19,1264.119995,1268.01001,1255,1256,1256,1018800
25-04-19,1264.77002,1267.407959,1252.030029,1263.449951,1263.449951,1107300
26-04-19,1269,1273.069946,1260.319946,1272.180054,1272.180054,1241400
29-04-19,1274,1289.27002,1266.295044,1287.579956,1287.579956,2499400
30-04-19,1185,1192.810059,1175,1188.47998,1188.47998,6207000
01-05-19,1188.050049,1188.050049,1167.180054,1168.079956,1168.079956,2639200
02-05-19,1167.76001,1174.189941,1155.001953,1162.609985,1162.609985,1944800
03-05-19,1173.650024,1186.800049,1169,1185.400024,1185.400024,1980700
06-05-19,1166.26001,1190.849976,1166.26001,1189.390015,1189.390015,1563900
07-05-19,1180.469971,1190.439941,1161.040039,1174.099976,1174.099976,1551400
08-05-19,1172.01001,1180.42395,1165.73999,1166.27002,1166.27002,1309300
09-05-19,1159.030029,1169.660034,1150.849976,1162.380005,1162.380005,1185700
10-05-19,1163.589966,1172.599976,1142.5,1164.27002,1164.27002,1314500
13-05-19,1141.959961,1147.939941,1122.109985,1132.030029,1132.030029,1860600
14-05-19,1137.209961,1140.420044,1119.550049,1120.439941,1120.439941,1836600
15-05-19,1117.869995,1171.329956,1116.666016,1164.209961,1164.209961,2289300
16-05-19,1164.51001,1188.160034,1162.839966,1178.97998,1178.97998,1531400
17-05-19,1168.469971,1180.150024,1160.01001,1162.300049,1162.300049,1208600
20-05-19,1144.5,1146.796997,1131.442993,1138.849976,1138.849976,1353300
21-05-19,1148.48999,1152.708008,1137.939941,1149.630005,1149.630005,1159800
22-05-19,1146.75,1158.52002,1145.890015,1151.420044,1151.420044,914500
23-05-19,1140.5,1145.973022,1129.223999,1140.77002,1140.77002,1198900
24-05-19,1147.359985,1149.765015,1131.660034,1133.469971,1133.469971,1112000
28-05-19,1134,1151.587036,1133.119995,1134.150024,1134.150024,1365000
29-05-19,1127.52002,1129.099976,1108.219971,1116.459961,1116.459961,1538200
30-05-19,1115.540039,1123.130005,1112.119995,1117.949951,1117.949951,951900
31-05-19,1101.290039,1109.599976,1100.180054,1103.630005,1103.630005,1507800
03-06-19,1065.5,1065.5,1025,1036.22998,1036.22998,5130600
04-06-19,1042.900024,1056.050049,1033.689941,1053.050049,1053.050049,2833500
05-06-19,1051.540039,1053.550049,1030.48999,1042.219971,1042.219971,2168400
06-06-19,1044.98999,1047.48999,1033.699951,1044.339966,1044.339966,1703200
07-06-19,1050.630005,1070.920044,1048.400024,1066.040039,1066.040039,1802400
10-06-19,1072.97998,1092.660034,1072.322021,1080.380005,1080.380005,1464200
11-06-19,1093.97998,1101.98999,1077.603027,1078.719971,1078.719971,1436700
12-06-19,1078,1080.930054,1067.540039,1077.030029,1077.030029,1061000
13-06-19,1083.640015,1094.170044,1080.150024,1088.77002,1088.77002,1057700
14-06-19,1086.420044,1092.689941,1080.171997,1085.349976,1085.349976,1111500
17-06-19,1086.280029,1099.180054,1086.280029,1092.5,1092.5,941600
18-06-19,1109.689941,1116.390015,1098.98999,1103.599976,1103.599976,1386700
19-06-19,1105.599976,1107,1093.47998,1102.329956,1102.329956,1338800
20-06-19,1119.98999,1120.119995,1104.73999,1111.420044,1111.420044,1262000
21-06-19,1109.23999,1124.109985,1108.079956,1121.880005,1121.880005,1947600
24-06-19,1119.609985,1122,1111.01001,1115.52002,1115.52002,1395600
25-06-19,1112.660034,1114.349976,1083.800049,1086.349976,1086.349976,1546900
26-06-19,1086.5,1092.969971,1072.23999,1079.800049,1079.800049,1810900
27-06-19,1084,1087.099976,1075.290039,1076.01001,1076.01001,1004300
28-06-19,1076.390015,1081,1073.369995,1080.910034,1080.910034,1693200
01-07-19,1098,1107.579956,1093.703003,1097.949951,1097.949951,1436300
02-07-19,1102.23999,1111.77002,1098.170044,1111.25,1111.25,991600
03-07-19,1117.410034,1126.76001,1113.859985,1121.579956,1121.579956,767000
